author,topic,doc_nb,word_nb,char_nb,doc_ids
Adam Vaughan,G1,8.028972e-04,   0.4434689,    2.752233,
Adam Vaughan,G10,5.159655e-02,  35.5926753,  220.352233,
Adam Vaughan,G2,1.436600e-01,  99.3006118,  614.752233,
Adam Vaughan,G3,3.055340e-01, 173.1911650, 1074.511456,
Adam Vaughan,G4,2.022037e-02,   9.3949253,   58.441553,
Adam Vaughan,G5,8.028972e-04,   0.4434689,    2.752233,
Adam Vaughan,G6,1.845292e-01,  93.9412960,  583.622136,
Adam Vaughan,G7,2.629388e-01, 121.2881291,  754.558058,
Adam Vaughan,G8,1.066744e-01,  60.2502188,  373.820194,
Adam Vaughan,G9,9.232409e-01, 559.1540407, 3466.437670,5cc17807a2c3615169989a39 5cc079bba2c3613145ed8cb3
Alice Bell,G1,2.967359e-04,   0.2403561,    1.423145,
Alice Bell,G10,2.228487e-01, 180.5074184, 1068.782196,
Alice Bell,G2,3.445104e-01, 279.0534125, 1652.271810,5cc08174a2c3613145ed8f74
Alice Bell,G3,1.456973e-01, 118.0148368,  698.764392,
Alice Bell,G4,2.967359e-04,   0.2403561,    1.423145,
Alice Bell,G5,2.967359e-04,   0.2403561,    1.423145,
Alice Bell,G6,5.667656e-02,  45.9080119,  271.820772,
Alice Bell,G7,2.967359e-04,   0.2403561,    1.423145,
Alice Bell,G8,2.287834e-01, 185.3145401, 1097.245104,
Alice Bell,G9,2.967359e-04,   0.2403561,    1.423145,
Amy Hall,G1,3.343465e-03,   2.7215805,   15.523708,
Amy Hall,G10,8.541033e-02,  69.5240122,  396.560182,
Amy Hall,G2,4.167173e-01, 339.2079027, 1934.818541,
Amy Hall,G3,4.288754e-01, 349.1045593, 1991.268389,5cc17caba2c3615169989b6e
Amy Hall,G4,3.039514e-04,   0.2474164,    1.411246,
Amy Hall,G5,6.382979e-03,   5.1957447,   29.636170,
Amy Hall,G6,3.039514e-04,   0.2474164,    1.411246,
Amy Hall,G7,3.039514e-04,   0.2474164,    1.411246,
Amy Hall,G8,5.805471e-02,  47.2565350,  269.548024,
Amy Hall,G9,3.039514e-04,   0.2474164,    1.411246,
"Amy Remeikis, Katharine Murphy",G1,8.985507e-03,   6.0562319,   37.963768,
"Amy Remeikis, Katharine Murphy",G10,2.898551e-04,   0.1953623,    1.224638,
"Amy Remeikis, Katharine Murphy",G2,1.915942e-01, 129.1344928,  809.485507,
"Amy Remeikis, Katharine Murphy",G3,2.898551e-04,   0.1953623,    1.224638,
"Amy Remeikis, Katharine Murphy",G4,2.898551e-04,   0.1953623,    1.224638,
"Amy Remeikis, Katharine Murphy",G5,7.713043e-01, 519.8591304, 3258.760870,5cc06daca2c3613145ed8969
"Amy Remeikis, Katharine Murphy",G6,2.898551e-04,   0.1953623,    1.224638,
"Amy Remeikis, Katharine Murphy",G7,2.637681e-02,  17.7779710,  111.442029,
"Amy Remeikis, Katharine Murphy",G8,2.898551e-04,   0.1953623,    1.224638,
"Amy Remeikis, Katharine Murphy",G9,2.898551e-04,   0.1953623,    1.224638,
Anne Davies,G1,1.340883e-01,  72.5670656,  439.093131,
Anne Davies,G10,2.078869e-01, 190.8876612, 1155.972349,
Anne Davies,G2,2.434336e-01, 135.7446818,  856.821695,
Anne Davies,G3,7.313731e-02,  42.4063060,  257.719457,
Anne Davies,G4,6.559681e-01, 370.6388045, 2306.477404,
Anne Davies,G5,2.018493e+00,1433.3237071, 8775.175370,5cc07b5ca2c3613145ed8d5b 5cc07a62a2c3613145ed8cfa 5cc07696a2c3613145ed8b7a 5cc07686a2c3613145ed8b72
Anne Davies,G6,5.095280e-02,  30.3698971,  186.101663,
Anne Davies,G7,3.020812e-01, 187.5731989, 1130.549619,
Anne Davies,G8,1.946462e-01, 158.4960443,  959.359487,
Anne Davies,G9,1.193131e-01,  73.9926335,  458.729825,
Arthur Neslen,G1,5.313706e-01, 415.9864984, 2556.986458,5cc07615a2c3613145ed8b50
Arthur Neslen,G10,4.293928e-03,   2.5190800,   15.166676,
Arthur Neslen,G2,6.442931e-04,   0.4278392,    2.600983,
Arthur Neslen,G3,8.164988e-02,  63.8552135,  392.480871,
Arthur Neslen,G4,9.525466e-01, 596.3147820, 3609.106732,5cc16446a2c36151699895d1
Arthur Neslen,G5,3.437589e-03,   2.6149900,   16.045117,
Arthur Neslen,G6,6.484933e-02,  40.7368756,  246.619802,
Arthur Neslen,G7,1.432451e-01,  94.4565469,  573.938747,
Arthur Neslen,G8,1.634302e-01, 107.1958121,  651.089789,
Arthur Neslen,G9,5.453248e-02,  31.8923623,  191.964825,
Arwa Mahdawi,G1,1.224439e-01, 117.5461347,  699.766833,
Arwa Mahdawi,G10,5.738155e-01, 550.8628429, 3279.355362,5cc180e7a2c3615169989c56
Arwa Mahdawi,G2,2.493766e-04,   0.2394015,    1.425187,
Arwa Mahdawi,G3,7.730673e-03,   7.4214464,   44.180798,
Arwa Mahdawi,G4,2.493766e-04,   0.2394015,    1.425187,
Arwa Mahdawi,G5,2.493766e-04,   0.2394015,    1.425187,
Arwa Mahdawi,G6,8.004988e-02,  76.8478803,  457.485037,
Arwa Mahdawi,G7,2.493766e-04,   0.2394015,    1.425187,
Arwa Mahdawi,G8,2.493766e-04,   0.2394015,    1.425187,
Arwa Mahdawi,G9,2.147132e-01, 206.1246883, 1227.086035,
Associated Press,G1,1.504137e+00, 676.9026542, 4039.116237,5cc17fe8a2c3615169989c16 5cc08341a2c3613145ed8ff3
Associated Press,G10,9.793485e-04,   0.4415088,    2.635576,
Associated Press,G2,9.793485e-04,   0.4415088,    2.635576,
Associated Press,G3,2.262437e-02,  10.5497339,   63.458087,
Associated Press,G4,9.793485e-04,   0.4415088,    2.635576,
Associated Press,G5,9.793485e-04,   0.4415088,    2.635576,
Associated Press,G6,4.663828e-01, 214.4570506, 1285.976645,
Associated Press,G7,9.793485e-04,   0.4415088,    2.635576,
Associated Press,G8,9.793485e-04,   0.4415088,    2.635576,
Associated Press,G9,9.793485e-04,   0.4415088,    2.635576,
Ben Jacobs,G1,7.299270e-04,   0.2357664,    1.448905,
Ben Jacobs,G10,7.299270e-04,   0.2357664,    1.448905,
Ben Jacobs,G2,7.299270e-04,   0.2357664,    1.448905,
Ben Jacobs,G3,7.299270e-04,   0.2357664,    1.448905,
Ben Jacobs,G4,8.029197e-03,   2.5934307,   15.937956,
Ben Jacobs,G5,7.299270e-04,   0.2357664,    1.448905,
Ben Jacobs,G6,7.299270e-04,   0.2357664,    1.448905,
Ben Jacobs,G7,7.299270e-04,   0.2357664,    1.448905,
Ben Jacobs,G8,8.029197e-03,   2.5934307,   15.937956,
Ben Jacobs,G9,9.788321e-01, 316.1627737, 1942.981752,5cc172d1a2c3615169989924
Ben Smee,G1,2.380952e-04,   0.2595238,    1.470952,
Ben Smee,G10,4.716667e-01, 514.1166667, 2913.956667,5cc06d80a2c3613145ed8960
Ben Smee,G2,3.357143e-02,  36.5928571,  207.404286,
Ben Smee,G3,3.383333e-01, 368.7833333, 2090.223333,
Ben Smee,G4,5.000000e-03,   5.4500000,   30.890000,
Ben Smee,G5,1.383333e-01, 150.7833333,  854.623333,
Ben Smee,G6,2.380952e-04,   0.2595238,    1.470952,
Ben Smee,G7,1.214286e-02,  13.2357143,   75.018571,
Ben Smee,G8,2.380952e-04,   0.2595238,    1.470952,
Ben Smee,G9,2.380952e-04,   0.2595238,    1.470952,
Bianca Nogrady,G1,1.552795e-04,   0.2170807,    1.338975,
Bianca Nogrady,G10,1.257764e-02,  17.5835404,  108.456988,
Bianca Nogrady,G2,4.163043e-01, 581.9934783, 3589.792391,5cc165c9a2c361516998962b
Bianca Nogrady,G3,1.709627e-01, 239.0059006, 1474.211646,
Bianca Nogrady,G4,3.260870e-03,   4.5586957,   28.118478,
Bianca Nogrady,G5,2.190994e-01, 306.3009317, 1889.293944,
Bianca Nogrady,G6,1.552795e-04,   0.2170807,    1.338975,
Bianca Nogrady,G7,1.771739e-01, 247.6891304, 1527.770652,
Bianca Nogrady,G8,1.552795e-04,   0.2170807,    1.338975,
Bianca Nogrady,G9,1.552795e-04,   0.2170807,    1.338975,
"Bibi van der Zee, Andrew Wasley",G1,1.686341e-04,   0.2011804,    1.292074,
"Bibi van der Zee, Andrew Wasley",G10,1.854975e-03,   2.2129848,   14.212816,
"Bibi van der Zee, Andrew Wasley",G2,8.279933e-02,  98.7795953,  634.408432,
"Bibi van der Zee, Andrew Wasley",G3,3.812816e-01, 454.8689713, 2921.379764,5cc07e5ba2c3613145ed8e6c
"Bibi van der Zee, Andrew Wasley",G4,3.239460e-01, 386.4676223, 2482.074536,
"Bibi van der Zee, Andrew Wasley",G5,5.750422e-02,  68.6025295,  440.597302,
"Bibi van der Zee, Andrew Wasley",G6,5.075885e-02,  60.5553120,  388.914334,
"Bibi van der Zee, Andrew Wasley",G7,1.013491e-01, 120.9094435,  776.536594,
