date,week,month,year,doc_nb,word_nb,char_nb,doc_ids
2016-01-27,2016-01-25,2016-01,2016,1,1042, 5578,5cc18ec6a2c3615169989edf
2016-04-04,2016-04-04,2016-04,2016,1, 457, 3018,5cc18a43a2c3615169989e0a
2016-05-03,2016-05-02,2016-05,2016,1,1325, 7956,5cc18d28a2c3615169989e98
2016-05-05,2016-05-02,2016-05,2016,1, 675, 4425,5cc188efa2c3615169989dc7
2016-05-10,2016-05-09,2016-05,2016,1, 448, 2752,5cc18956a2c3615169989dd8
2016-05-12,2016-05-09,2016-05,2016,1, 609, 3720,5cc18970a2c3615169989de2
2016-05-15,2016-05-09,2016-05,2016,2,1750,10518,5cc18879a2c3615169989daf 5cc18880a2c3615169989db1
2016-05-27,2016-05-23,2016-05,2016,1, 490, 2915,5cc1823aa2c3615169989c8e
2016-06-05,2016-05-30,2016-06,2016,1,  61,  383,5cc1832fa2c3615169989ca7
2016-06-12,2016-06-06,2016-06,2016,1, 149,  847,5cc18399a2c3615169989cc4
2016-06-15,2016-06-13,2016-06,2016,1, 872, 5368,5cc183eea2c3615169989cd1
2016-06-20,2016-06-20,2016-06,2016,1,1112, 6709,5cc18460a2c3615169989ce5
2016-06-26,2016-06-20,2016-06,2016,1, 758, 4832,5cc18482a2c3615169989cf3
2016-07-05,2016-07-04,2016-07,2016,1,1593, 9681,5cc18138a2c3615169989c5e
2016-07-07,2016-07-04,2016-07,2016,1, 980, 6613,5cc18566a2c3615169989d1d
2016-08-07,2016-08-01,2016-08,2016,1, 763, 4634,5cc18761a2c3615169989d7b
2016-08-16,2016-08-15,2016-08,2016,1, 972, 5957,5cc187dfa2c3615169989d92
2016-08-18,2016-08-15,2016-08,2016,1, 950, 6278,5cc1881da2c3615169989d9e
2016-09-07,2016-09-05,2016-09,2016,1, 499, 2947,5cc17f30a2c3615169989bf1
2016-09-12,2016-09-12,2016-09,2016,1,1509, 9273,5cc17f7aa2c3615169989c01
