date,week,month,year,doc_nb,word_nb,char_nb,doc_ids
2016-01-13,2016-01-11,2016-01,2016, 1,  6,  47,
2016-01-17,2016-01-11,2016-01,2016, 2, 37, 228,
2016-01-26,2016-01-25,2016-01,2016, 1, 18, 112,
2016-01-27,2016-01-25,2016-01,2016, 1, 18, 116,
2016-01-30,2016-01-25,2016-01,2016, 1, 14,  77,
2016-03-08,2016-03-07,2016-03,2016, 1, 18,  90,
2016-04-06,2016-04-04,2016-04,2016, 1,  1,  16,
2016-04-07,2016-04-04,2016-04,2016, 1, 16,  88,
2016-04-08,2016-04-04,2016-04,2016, 1, 20, 112,
2016-04-11,2016-04-11,2016-04,2016,12,108, 732,719578416362713088 719635824636076032
2016-04-12,2016-04-11,2016-04,2016, 3, 27, 183,
2016-04-13,2016-04-11,2016-04,2016, 1,  9,  61,
2016-04-25,2016-04-25,2016-04,2016, 2, 24, 170,
2016-04-26,2016-04-25,2016-04,2016, 1, 12,  85,
2016-06-16,2016-06-13,2016-06,2016, 2, 42, 284,
2016-06-19,2016-06-13,2016-06,2016, 1,  9,  55,
2016-07-01,2016-06-27,2016-07,2016, 2, 14, 116,748763105321070593
2016-07-04,2016-07-04,2016-07,2016, 2, 14,  92,
2016-07-05,2016-07-04,2016-07,2016, 1,  8,  54,
2016-07-19,2016-07-18,2016-07,2016, 2, 36, 226,
2016-10-02,2016-09-26,2016-10,2016, 1,  5,  36,782563349372493824
2016-10-19,2016-10-17,2016-10,2016, 1,  7,  50,
2016-11-08,2016-11-07,2016-11,2016, 1, 19, 134,
2016-11-19,2016-11-14,2016-11,2016, 1, 18, 113,
2016-12-07,2016-12-05,2016-12,2016, 8,136,1120,
2016-12-12,2016-12-12,2016-12,2016, 1,  1,   3,
2016-12-26,2016-12-26,2016-12,2016, 1, 17, 104,
2017-02-19,2017-02-13,2017-02,2017, 4, 20, 216,
2017-03-02,2017-02-27,2017-03,2017, 1, 25, 140,
2017-03-09,2017-03-06,2017-03,2017, 1, 10,  54,
2017-03-27,2017-03-27,2017-03,2017, 1,  8,  68,
2017-04-02,2017-03-27,2017-04,2017, 1, 20, 142,
2017-04-03,2017-04-03,2017-04,2017, 1, 15,  89,
2017-04-26,2017-04-24,2017-04,2017, 1, 15,  89,
