interactor,date,doc_nb,word_nb,char_nb,doc_ids
citizensclimate,2016-04-11,11, 99, 671,719635824636076032
citizensclimate,2016-04-12, 3, 27, 183,
citizensclimate,2016-04-13, 1,  9,  61,
ClimateReality,2018-04-01,14,252,1442,980545307426553856
ClimateReality,2018-04-02, 4, 72, 412,
ECOWARRIORSS,2018-10-14, 1, 42, 254,
MollyJongFast,2017-05-31, 6, 96, 666,
OTHER_USERS,2016-01-27, 1, 18, 116,
OTHER_USERS,2016-04-25, 1, 12,  85,
OTHER_USERS,2016-04-26, 1, 12,  85,
OTHER_USERS,2016-06-16, 1, 21, 142,
OTHER_USERS,2016-07-04, 1,  7,  46,
OTHER_USERS,2016-07-19, 1, 18, 113,
OTHER_USERS,2016-12-07, 7,119, 980,
OTHER_USERS,2017-02-19, 3, 15, 162,
OTHER_USERS,2017-04-26, 1, 15,  89,
OTHER_USERS,2017-05-16, 1, 20, 142,
OTHER_USERS,2017-05-20, 2, 36, 230,
OTHER_USERS,2017-06-16, 1, 14,  71,
OTHER_USERS,2017-07-04, 1,  5,  44,
OTHER_USERS,2017-09-13, 1, 23, 137,
OTHER_USERS,2017-10-17, 1, 16,  98,
OTHER_USERS,2018-01-20, 1, 15,  93,
OTHER_USERS,2018-03-26, 5, 80, 575,
OTHER_USERS,2018-03-27, 1, 16, 115,
OTHER_USERS,2018-07-31, 1,  9,  64,
OTHER_USERS,2018-10-16, 2, 64, 386,
OTHER_USERS,2018-10-21, 2, 48, 320,
OTHER_USERS,2018-10-25, 3, 75, 528,
OTHER_USERS,2018-11-15, 1,  9, 100,1062954973456084994
OTHER_USERS,2018-12-30, 4,120,1016,
SustainBrands,2016-07-01, 1,  7,  58,
USER_2,2017-06-13, 1,  5,  34,
NA,2016-01-13, 1,  6,  47,
NA,2016-01-17, 2, 37, 228,
NA,2016-01-26, 1, 18, 112,
NA,2016-01-30, 1, 14,  77,
NA,2016-03-08, 1, 18,  90,
NA,2016-04-06, 1,  1,  16,
NA,2016-04-07, 1, 16,  88,
NA,2016-04-08, 1, 20, 112,
NA,2016-04-11, 1,  9,  61,719578416362713088
NA,2016-04-25, 1, 12,  85,
NA,2016-06-16, 1, 21, 142,
NA,2016-06-19, 1,  9,  55,
NA,2016-07-01, 1,  7,  58,748763105321070593
NA,2016-07-04, 1,  7,  46,
NA,2016-07-05, 1,  8,  54,
NA,2016-07-19, 1, 18, 113,
NA,2016-10-02, 1,  5,  36,782563349372493824
NA,2016-10-19, 1,  7,  50,
NA,2016-11-08, 1, 19, 134,
NA,2016-11-19, 1, 18, 113,
NA,2016-12-07, 1, 17, 140,
NA,2016-12-12, 1,  1,   3,
NA,2016-12-26, 1, 17, 104,
NA,2017-02-19, 1,  5,  54,
NA,2017-03-02, 1, 25, 140,
NA,2017-03-09, 1, 10,  54,
NA,2017-03-27, 1,  8,  68,
NA,2017-04-02, 1, 20, 142,
NA,2017-04-03, 1, 15,  89,
NA,2017-05-08, 1, 10,  63,
NA,2017-05-18, 1, 15, 116,
NA,2017-05-20, 1, 18, 115,
NA,2017-05-23, 1,  4,  30,
NA,2017-05-31, 1, 16, 111,869889750358007809
NA,2017-06-02, 2, 26, 154,
NA,2017-06-04, 1, 17, 114,
NA,2017-06-06, 1, 17, 142,
NA,2017-06-13, 1,  5,  34,874590496815009793
