interactor,date,topic,doc_nb,word_nb,char_nb,doc_ids
citizensclimate,2016-04-11,T1, 0.224489796,  2.02040816,  13.6938776,
citizensclimate,2016-04-11,T2, 0.224489796,  2.02040816,  13.6938776,
citizensclimate,2016-04-11,T3, 9.204081633, 82.83673469, 561.4489796,719635824636076032
citizensclimate,2016-04-11,T4, 0.224489796,  2.02040816,  13.6938776,
citizensclimate,2016-04-11,T5, 0.224489796,  2.02040816,  13.6938776,
citizensclimate,2016-04-11,T6, 0.224489796,  2.02040816,  13.6938776,
citizensclimate,2016-04-11,T7, 0.224489796,  2.02040816,  13.6938776,
citizensclimate,2016-04-11,T8, 0.224489796,  2.02040816,  13.6938776,
citizensclimate,2016-04-11,T9, 0.224489796,  2.02040816,  13.6938776,
citizensclimate,2016-04-12,T1, 0.061224490,  0.55102041,   3.7346939,
citizensclimate,2016-04-12,T2, 0.061224490,  0.55102041,   3.7346939,
citizensclimate,2016-04-12,T3, 2.510204082, 22.59183673, 153.1224490,
citizensclimate,2016-04-12,T4, 0.061224490,  0.55102041,   3.7346939,
citizensclimate,2016-04-12,T5, 0.061224490,  0.55102041,   3.7346939,
citizensclimate,2016-04-12,T6, 0.061224490,  0.55102041,   3.7346939,
citizensclimate,2016-04-12,T7, 0.061224490,  0.55102041,   3.7346939,
citizensclimate,2016-04-12,T8, 0.061224490,  0.55102041,   3.7346939,
citizensclimate,2016-04-12,T9, 0.061224490,  0.55102041,   3.7346939,
citizensclimate,2016-04-13,T1, 0.020408163,  0.18367347,   1.2448980,
citizensclimate,2016-04-13,T2, 0.020408163,  0.18367347,   1.2448980,
citizensclimate,2016-04-13,T3, 0.836734694,  7.53061224,  51.0408163,
citizensclimate,2016-04-13,T4, 0.020408163,  0.18367347,   1.2448980,
citizensclimate,2016-04-13,T5, 0.020408163,  0.18367347,   1.2448980,
citizensclimate,2016-04-13,T6, 0.020408163,  0.18367347,   1.2448980,
citizensclimate,2016-04-13,T7, 0.020408163,  0.18367347,   1.2448980,
citizensclimate,2016-04-13,T8, 0.020408163,  0.18367347,   1.2448980,
citizensclimate,2016-04-13,T9, 0.020408163,  0.18367347,   1.2448980,
ClimateReality,2018-04-01,T1, 0.285714286,  5.14285714,  29.4285714,
ClimateReality,2018-04-01,T2, 0.285714286,  5.14285714,  29.4285714,
ClimateReality,2018-04-01,T3, 0.285714286,  5.14285714,  29.4285714,
ClimateReality,2018-04-01,T4, 0.285714286,  5.14285714,  29.4285714,
ClimateReality,2018-04-01,T5, 0.285714286,  5.14285714,  29.4285714,
ClimateReality,2018-04-01,T6, 0.285714286,  5.14285714,  29.4285714,
ClimateReality,2018-04-01,T7, 0.285714286,  5.14285714,  29.4285714,
ClimateReality,2018-04-01,T8, 0.285714286,  5.14285714,  29.4285714,
ClimateReality,2018-04-01,T9,11.714285714,210.85714286,1206.5714286,980545307426553856
ClimateReality,2018-04-02,T1, 0.081632653,  1.46938776,   8.4081633,
