author,interactor,date,doc_nb,word_nb,char_nb,doc_ids
Alan Whitehead,NA,2017-06-27,1, 143,  813,uk.org.publicwhip/debate/2017-06-27a.455.8
Albert Owen,NA,2018-03-06,1, 853, 4855,uk.org.publicwhip/debate/2018-03-06b.252.2
Alec Shelbrooke,NA,2019-07-01,1,  78,  461,uk.org.publicwhip/debate/2019-07-01c.961.2
Alex Chalk,NA,2019-04-30,1,1645, 9910,uk.org.publicwhip/debate/2019-04-30a.148.1
Alex Cunningham,NA,2016-01-05,1, 928, 6055,uk.org.publicwhip/debate/2016-01-05d.133.2
Alex Cunningham,NA,2016-03-14,1, 455, 2553,uk.org.publicwhip/debate/2016-03-14b.719.0
Alun Cairns,NA,2019-06-10,1,  90,  525,uk.org.publicwhip/debate/2019-06-10b.442.2
Amber Rudd,NA,2016-07-12,1, 678, 4093,uk.org.publicwhip/debate/2016-07-12b.186.1
Andrea Leadsom,NA,2016-07-13,1,  55,  338,uk.org.publicwhip/debate/2016-07-14b.417.8
Andrea Leadsom,NA,2016-07-14,2, 154,  918,uk.org.publicwhip/debate/2016-07-14c.412.7 uk.org.publicwhip/debate/2016-07-14c.412.3
Andrea Leadsom,NA,2019-09-26,1,  78,  447,uk.org.publicwhip/debate/2019-09-26c.913.0
Andrew Mitchell,NA,2019-10-14,1,1089, 6311,uk.org.publicwhip/debate/2019-10-14a.49.1
Andrew Murrison,NA,2016-07-18,1, 331, 1926,uk.org.publicwhip/debate/2016-07-18c.591.2
Andrew Stephenson,NA,2019-07-04,1,1094, 6628,uk.org.publicwhip/debate/2019-07-04b.1409.1
Anne Main,NA,2019-09-03,1,  26,  141,uk.org.publicwhip/debate/2019-09-03b.34.3
Antoinette Sandbach,NA,2016-07-04,1, 610, 3537,uk.org.publicwhip/debate/2016-07-04a.690.0
Barry Gardiner,NA,2016-09-07,1,  53,  348,uk.org.publicwhip/debate/2016-09-07b.371.5
Barry Gardiner,NA,2019-04-23,1, 908, 5353,uk.org.publicwhip/debate/2019-04-23a.674.0
Barry Sheerman,NA,2019-04-24,1,  59,  345,uk.org.publicwhip/debate/2019-04-24b.734.0
Bill Grant,NA,2019-10-17,1, 601, 3543,uk.org.publicwhip/debate/2019-10-17c.534.0
Boris Johnson,NA,2019-10-30,1, 138,  782,uk.org.publicwhip/debate/2019-10-30a.368.3
Callum McCaig,NA,2016-03-14,1, 270, 1580,uk.org.publicwhip/debate/2016-03-14b.702.0
Carol Monaghan,NA,2019-06-12,1,  52,  337,uk.org.publicwhip/debate/2019-06-12e.657.5
Caroline Lucas,NA,2016-09-07,1, 105,  651,uk.org.publicwhip/debate/2016-09-07b.333.3
Cat Smith,NA,2016-02-11,1,  20,  136,uk.org.publicwhip/debate/2016-02-11c.1727.7
Cheryl Gillan,NA,2017-01-31,1, 845, 4867,uk.org.publicwhip/debate/2017-01-31c.845.1
Chi Onwurah,NA,2019-02-12,1, 127,  744,uk.org.publicwhip/debate/2019-02-12c.721.5
Chris Matheson,NA,2019-05-21,1, 369, 2328,uk.org.publicwhip/debate/2019-05-21a.650.1
Claire Perry,NA,2019-04-23,1, 115,  631,uk.org.publicwhip/debate/2019-04-23a.614.3
Claire Perry,NA,2019-10-30,1, 308, 1680,uk.org.publicwhip/debate/2019-10-30a.368.2
Daniel Zeichner,NA,2019-05-21,1,  57,  340,uk.org.publicwhip/debate/2019-05-21a.605.3
Daniel Zeichner,NA,2019-07-25,1,  34,  187,uk.org.publicwhip/debate/2019-07-25a.1427.7
Darren Jones,NA,2018-11-12,1, 750, 4531,uk.org.publicwhip/debate/2018-11-12d.151.1
David Drew,NA,2019-05-09,1,  73,  407,uk.org.publicwhip/debate/2019-05-09b.640.7
Derek Thomas,NA,2019-10-17,1, 557, 3252,uk.org.publicwhip/debate/2019-10-17c.552.2
Douglas Chapman,NA,2019-06-13,1,  65,  375,uk.org.publicwhip/debate/2019-06-13b.822.1
Edward Davey,NA,2019-04-23,1, 185, 1064,uk.org.publicwhip/debate/2019-04-23a.682.2
Eleanor Laing,NA,2017-02-08,1,4513,29826,uk.org.publicwhip/debate/2017-02-08b.434.1
Emily Thornberry,NA,2016-11-22,1,  98,  538,uk.org.publicwhip/debate/2016-11-22b.734.5
George Kerevan,NA,2016-03-08,1, 474, 2624,uk.org.publicwhip/debate/2016-03-08a.250.2
Graham Stuart,NA,2016-01-18,1, 579, 3228,uk.org.publicwhip/debate/2016-01-18b.1178.0
Greg Clark,NA,2016-11-08,1, 111,  690,uk.org.publicwhip/debate/2016-11-08c.1390.7
Greg Clark,NA,2017-12-12,1,  50,  299,uk.org.publicwhip/debate/2017-12-12b.175.2
Greg Mulholland,NA,2016-02-02,1, 764, 4568,uk.org.publicwhip/debate/2016-02-02a.861.0
Helen Hayes,NA,2019-02-21,1,  66,  417,uk.org.publicwhip/debate/2019-02-21a.1588.7
Hilary Benn,NA,2019-04-23,1,  82,  463,uk.org.publicwhip/debate/2019-04-23a.610.1
Ian Murray,NA,2019-03-20,1,  78,  473,uk.org.publicwhip/debate/2019-03-20b.1057.0
Jeremy Corbyn,NA,2019-05-01,1, 438, 2642,uk.org.publicwhip/debate/2019-05-01c.225.2
Jo Johnson,NA,2017-12-12,1,  47,  246,uk.org.publicwhip/debate/2017-12-12b.169.11
Jo Johnson,NA,2018-05-23,1, 208, 1224,uk.org.publicwhip/debate/2018-05-23c.896.3
John Bercow,NA,2016-05-18,1, 974, 6463,uk.org.publicwhip/debate/2016-05-18a.3.0
Karin Smyth,NA,2019-10-17,1, 475, 2882,uk.org.publicwhip/debate/2019-10-17c.545.0
Kerry McCarthy,NA,2019-02-07,1,  43,  246,uk.org.publicwhip/debate/2019-02-07b.386.4
Kevin Hollinrake,NA,2018-10-31,1,  27,  155,uk.org.publicwhip/debate/2018-10-31a.928.4
Kit Malthouse,NA,2019-03-28,1, 565, 3714,uk.org.publicwhip/debate/2019-03-28b.662.1
Kwasi Kwarteng,NA,2019-10-22,1,  74,  411,uk.org.publicwhip/debate/2019-10-22d.802.0
Margaret Greenwood,NA,2016-09-07,1, 234, 1448,uk.org.publicwhip/debate/2016-09-07b.405.0
Margaret Ritchie,NA,2016-01-07,1,  24,  159,uk.org.publicwhip/debate/2016-01-07b.417.3
Mary Creagh,NA,2016-09-07,1, 441, 2601,uk.org.publicwhip/debate/2016-09-07b.412.0
Mary Creagh,NA,2017-02-27,1, 148,  878,uk.org.publicwhip/debate/2017-02-27b.53.1
Mary Robinson,NA,2019-06-26,1,  67,  383,uk.org.publicwhip/debate/2019-06-26a.659.4
Matt Western,NA,2019-03-21,1, 132,  734,uk.org.publicwhip/debate/2019-03-21a.1252.3
Matthew Pennycook,NA,2017-11-15,1,1001, 6147,uk.org.publicwhip/debate/2017-11-15c.494.4
Michael Ellis,NA,2019-07-18,1, 148,  902,uk.org.publicwhip/debate/2019-07-18a.945.0
Michael Tomlinson,NA,2017-11-07,1,  16,   94,uk.org.publicwhip/debate/2017-11-07c.1321.5
Neil Gray,NA,2016-07-18,1, 520, 3110,uk.org.publicwhip/debate/2016-07-18c.645.0
Nicholas Soames,NA,2018-11-22,1,  69,  429,uk.org.publicwhip/debate/2018-11-22b.1110.5
Nicholas Soames,NA,2019-03-25,1, 281, 1667,uk.org.publicwhip/debate/2019-03-25c.92.1
Nigel Huddleston,NA,2019-02-21,1,  53,  304,uk.org.publicwhip/debate/2019-02-21a.1593.1
Pat Glass,NA,2016-03-09,1, 368, 2144,uk.org.publicwhip/debate/2016-03-09a.281.0
Patricia Gibson,NA,2018-10-18,1, 768, 4561,uk.org.publicwhip/debate/2018-10-18b.833.2
Patricia Gibson,NA,2019-05-01,1,  61,  349,uk.org.publicwhip/debate/2019-05-01c.251.0
Patrick Grady,NA,2016-01-25,1, 534, 3246,uk.org.publicwhip/debate/2016-01-25c.112.1
Patrick Grady,NA,2016-09-07,1, 258, 1583,uk.org.publicwhip/debate/2016-09-07b.419.1
Patrick Grady,NA,2019-07-24,1,  59,  356,uk.org.publicwhip/debate/2019-07-24b.1362.2
Peter Aldous,NA,2019-10-28,1, 367, 2233,uk.org.publicwhip/debate/2019-10-28b.124.3
Rachel Maclean,NA,2019-07-17,1,  59,  337,uk.org.publicwhip/debate/2019-07-17a.816.2
Rachel Reeves,NA,2016-01-06,1, 675, 3920,uk.org.publicwhip/debate/2016-01-06b.366.1
Rachel Reeves,NA,2019-06-12,1, 186, 1021,uk.org.publicwhip/debate/2019-06-12e.670.0
Rebecca Pow,NA,2019-03-18,1, 803, 4835,uk.org.publicwhip/debate/2019-03-18c.894.0
Richard Benyon,NA,2017-02-01,1, 606, 3343,uk.org.publicwhip/debate/2017-02-01b.1005.253
Ruth Cadbury,NA,2019-10-28,1, 596, 3497,uk.org.publicwhip/debate/2019-10-28b.114.1
Ruth George,NA,2019-02-28,1,  92,  532,uk.org.publicwhip/debate/2019-02-28a.602.2
Stephen Doughty,NA,2019-09-09,1, 415, 2435,uk.org.publicwhip/debate/2019-09-09c.549.4
