author,topic,doc_nb,word_nb,char_nb,doc_ids
Alan Whitehead,P1,2.000000e-03,   0.2860000,    1.626000,
Alan Whitehead,P10,2.000000e-03,   0.2860000,    1.626000,
Alan Whitehead,P2,2.000000e-03,   0.2860000,    1.626000,
Alan Whitehead,P3,2.000000e-03,   0.2860000,    1.626000,
Alan Whitehead,P4,2.000000e-03,   0.2860000,    1.626000,
Alan Whitehead,P5,1.620000e-01,  23.1660000,  131.706000,
Alan Whitehead,P6,3.220000e-01,  46.0460000,  261.786000,
Alan Whitehead,P7,1.420000e-01,  20.3060000,  115.446000,
Alan Whitehead,P8,2.000000e-03,   0.2860000,    1.626000,
Alan Whitehead,P9,3.620000e-01,  51.7660000,  294.306000,uk.org.publicwhip/debate/2017-06-27a.455.8
Albert Owen,P1,3.105590e-04,   0.2649068,    1.507764,
Albert Owen,P10,3.105590e-04,   0.2649068,    1.507764,
Albert Owen,P2,3.605590e-01, 307.5568323, 1750.513975,
Albert Owen,P3,3.105590e-04,   0.2649068,    1.507764,
Albert Owen,P4,3.105590e-04,   0.2649068,    1.507764,
Albert Owen,P5,6.552795e-02,  55.8953416,  318.138199,
Albert Owen,P6,1.338509e-01, 114.1748447,  649.846273,
Albert Owen,P7,3.698758e-01, 315.5040373, 1795.746894,uk.org.publicwhip/debate/2018-03-06b.252.2
Albert Owen,P8,3.105590e-04,   0.2649068,    1.507764,
Albert Owen,P9,6.863354e-02,  58.5444099,  333.215839,
Alec Shelbrooke,P1,4.441176e-01,  34.6411765,  204.738235,uk.org.publicwhip/debate/2019-07-01c.961.2
Alec Shelbrooke,P10,2.941176e-03,   0.2294118,    1.355882,
Alec Shelbrooke,P2,6.176471e-02,   4.8176471,   28.473529,
Alec Shelbrooke,P3,2.941176e-03,   0.2294118,    1.355882,
Alec Shelbrooke,P4,2.088235e-01,  16.2882353,   96.267647,
Alec Shelbrooke,P5,2.941176e-03,   0.2294118,    1.355882,
Alec Shelbrooke,P6,2.941176e-03,   0.2294118,    1.355882,
Alec Shelbrooke,P7,2.676471e-01,  20.8764706,  123.385294,
Alec Shelbrooke,P8,2.941176e-03,   0.2294118,    1.355882,
Alec Shelbrooke,P9,2.941176e-03,   0.2294118,    1.355882,
Alex Chalk,P1,4.861496e-02,  79.9716066,  481.774238,
Alex Chalk,P10,5.678670e-03,   9.3414127,   56.275623,
Alex Chalk,P2,5.277008e-02,  86.8067867,  522.951524,
Alex Chalk,P3,1.385042e-04,   0.2278393,    1.372576,
Alex Chalk,P4,1.843490e-01, 303.2541551, 1826.898892,
Alex Chalk,P5,1.400277e-01, 230.3455679, 1387.674515,
Alex Chalk,P6,2.508310e-01, 412.6170360, 2485.735457,uk.org.publicwhip/debate/2019-04-30a.148.1
Alex Chalk,P7,1.594183e-01, 262.2430748, 1579.835180,
Alex Chalk,P8,1.580332e-01, 259.9646814, 1566.109418,
Alex Chalk,P9,1.385042e-04,   0.2278393,    1.372576,
Alex Cunningham,P1,3.796142e-02,  34.9711338,  227.953146,
Alex Cunningham,P10,1.713800e-02,  13.0763450,   82.834710,
Alex Cunningham,P2,3.836112e-01, 270.9026223, 1692.786570,
Alex Cunningham,P3,7.622966e-04,   0.4503461,    2.712445,
Alex Cunningham,P4,1.606305e-01,  79.4004579,  456.834163,
Alex Cunningham,P5,1.140484e-01,  69.5906990,  422.203146,
Alex Cunningham,P6,4.572840e-01, 208.1677374, 1168.212445,uk.org.publicwhip/debate/2016-03-14b.719.0
Alex Cunningham,P7,1.783501e-01, 111.2680965,  678.321581,
Alex Cunningham,P8,5.499964e-01, 510.1396240, 3328.325137,uk.org.publicwhip/debate/2016-01-05d.133.2
Alex Cunningham,P9,1.002176e-01,  85.0329381,  547.816658,
Alun Cairns,P1,2.857143e-03,   0.2571429,    1.500000,
Alun Cairns,P10,1.171429e-01,  10.5428571,   61.500000,
Alun Cairns,P2,3.742857e-01,  33.6857143,  196.500000,
Alun Cairns,P3,2.857143e-03,   0.2571429,    1.500000,
Alun Cairns,P4,4.885714e-01,  43.9714286,  256.500000,uk.org.publicwhip/debate/2019-06-10b.442.2
Alun Cairns,P5,2.857143e-03,   0.2571429,    1.500000,
Alun Cairns,P6,2.857143e-03,   0.2571429,    1.500000,
Alun Cairns,P7,2.857143e-03,   0.2571429,    1.500000,
Alun Cairns,P8,2.857143e-03,   0.2571429,    1.500000,
Alun Cairns,P9,2.857143e-03,   0.2571429,    1.500000,
Amber Rudd,P1,3.389831e-04,   0.2298305,    1.387458,
Amber Rudd,P10,8.847458e-02,  59.9857627,  362.126441,
Amber Rudd,P2,1.088136e-01,  73.7755932,  445.373898,
Amber Rudd,P3,3.389831e-04,   0.2298305,    1.387458,
Amber Rudd,P4,1.969492e-01, 133.5315254,  806.112881,
Amber Rudd,P5,3.389831e-04,   0.2298305,    1.387458,
Amber Rudd,P6,5.020339e-01, 340.3789831, 2054.824746,uk.org.publicwhip/debate/2016-07-12b.186.1
Amber Rudd,P7,1.389831e-02,   9.4230508,   56.885763,
Amber Rudd,P8,8.847458e-02,  59.9857627,  362.126441,
Amber Rudd,P9,3.389831e-04,   0.2298305,    1.387458,
Andrea Leadsom,P1,1.378736e-02,   0.9461812,    5.588531,
Andrea Leadsom,P10,7.463392e-02,   5.1498849,   31.392764,
Andrea Leadsom,P2,6.169620e-01,  47.8350701,  293.271071,
Andrea Leadsom,P3,1.378736e-02,   0.9461812,    5.588531,
Andrea Leadsom,P4,1.508244e-01,   9.2832182,   54.107050,
Andrea Leadsom,P5,4.732468e-01,  36.7840190,  210.966910,
