interactor,date,doc_nb,word_nb,char_nb,doc_ids
NA,2016-01-05,1, 928, 6055,uk.org.publicwhip/debate/2016-01-05d.133.2
NA,2016-01-06,1, 675, 3920,uk.org.publicwhip/debate/2016-01-06b.366.1
NA,2016-01-07,1,  24,  159,uk.org.publicwhip/debate/2016-01-07b.417.3
NA,2016-01-18,1, 579, 3228,uk.org.publicwhip/debate/2016-01-18b.1178.0
NA,2016-01-25,1, 534, 3246,uk.org.publicwhip/debate/2016-01-25c.112.1
NA,2016-02-02,1, 764, 4568,uk.org.publicwhip/debate/2016-02-02a.861.0
NA,2016-02-11,1,  20,  136,uk.org.publicwhip/debate/2016-02-11c.1727.7
NA,2016-03-08,1, 474, 2624,uk.org.publicwhip/debate/2016-03-08a.250.2
NA,2016-03-09,1, 368, 2144,uk.org.publicwhip/debate/2016-03-09a.281.0
NA,2016-03-14,2, 725, 4133,uk.org.publicwhip/debate/2016-03-14b.719.0 uk.org.publicwhip/debate/2016-03-14b.702.0
NA,2016-05-18,1, 974, 6463,uk.org.publicwhip/debate/2016-05-18a.3.0
NA,2016-07-04,1, 610, 3537,uk.org.publicwhip/debate/2016-07-04a.690.0
NA,2016-07-12,1, 678, 4093,uk.org.publicwhip/debate/2016-07-12b.186.1
NA,2016-07-13,1,  55,  338,uk.org.publicwhip/debate/2016-07-14b.417.8
NA,2016-07-14,2, 154,  918,uk.org.publicwhip/debate/2016-07-14c.412.7 uk.org.publicwhip/debate/2016-07-14c.412.3
NA,2016-07-18,2, 851, 5036,uk.org.publicwhip/debate/2016-07-18c.591.2 uk.org.publicwhip/debate/2016-07-18c.645.0
NA,2016-09-07,5,1091, 6631,uk.org.publicwhip/debate/2016-09-07b.371.5 uk.org.publicwhip/debate/2016-09-07b.333.3 uk.org.publicwhip/debate/2016-09-07b.405.0 uk.org.publicwhip/debate/2016-09-07b.412.0 uk.org.publicwhip/debate/2016-09-07b.419.1
NA,2016-11-08,1, 111,  690,uk.org.publicwhip/debate/2016-11-08c.1390.7
NA,2016-11-22,1,  98,  538,uk.org.publicwhip/debate/2016-11-22b.734.5
NA,2017-01-31,1, 845, 4867,uk.org.publicwhip/debate/2017-01-31c.845.1
NA,2017-02-01,1, 606, 3343,uk.org.publicwhip/debate/2017-02-01b.1005.253
NA,2017-02-08,1,4513,29826,uk.org.publicwhip/debate/2017-02-08b.434.1
NA,2017-02-27,1, 148,  878,uk.org.publicwhip/debate/2017-02-27b.53.1
NA,2017-06-27,1, 143,  813,uk.org.publicwhip/debate/2017-06-27a.455.8
NA,2017-09-12,1,  75,  468,uk.org.publicwhip/debate/2017-09-12a.632.3
NA,2017-10-26,1,1311, 7430,uk.org.publicwhip/debate/2017-10-26b.457.0
NA,2017-11-07,1,  16,   94,uk.org.publicwhip/debate/2017-11-07c.1321.5
NA,2017-11-15,1,1001, 6147,uk.org.publicwhip/debate/2017-11-15c.494.4
NA,2017-12-12,2,  97,  545,uk.org.publicwhip/debate/2017-12-12b.175.2 uk.org.publicwhip/debate/2017-12-12b.169.11
NA,2018-01-30,1,1083, 6337,uk.org.publicwhip/debate/2018-01-30a.718.2
NA,2018-03-06,1, 853, 4855,uk.org.publicwhip/debate/2018-03-06b.252.2
NA,2018-03-13,1,  59,  345,uk.org.publicwhip/debate/2018-03-13c.698.3
NA,2018-05-23,1, 208, 1224,uk.org.publicwhip/debate/2018-05-23c.896.3
NA,2018-06-25,1, 346, 2070,uk.org.publicwhip/debate/2018-06-25d.691.0
NA,2018-10-18,1, 768, 4561,uk.org.publicwhip/debate/2018-10-18b.833.2
NA,2018-10-31,1,  27,  155,uk.org.publicwhip/debate/2018-10-31a.928.4
NA,2018-11-12,1, 750, 4531,uk.org.publicwhip/debate/2018-11-12d.151.1
NA,2018-11-22,1,  69,  429,uk.org.publicwhip/debate/2018-11-22b.1110.5
NA,2018-12-03,1, 156,  917,uk.org.publicwhip/debate/2018-12-03b.610.1
NA,2019-02-07,1,  43,  246,uk.org.publicwhip/debate/2019-02-07b.386.4
NA,2019-02-12,1, 127,  744,uk.org.publicwhip/debate/2019-02-12c.721.5
NA,2019-02-21,2, 119,  721,uk.org.publicwhip/debate/2019-02-21a.1588.7 uk.org.publicwhip/debate/2019-02-21a.1593.1
NA,2019-02-28,1,  92,  532,uk.org.publicwhip/debate/2019-02-28a.602.2
NA,2019-03-11,1, 208, 1271,uk.org.publicwhip/debate/2019-03-11c.80.1
NA,2019-03-18,1, 803, 4835,uk.org.publicwhip/debate/2019-03-18c.894.0
NA,2019-03-20,1,  78,  473,uk.org.publicwhip/debate/2019-03-20b.1057.0
NA,2019-03-21,1, 132,  734,uk.org.publicwhip/debate/2019-03-21a.1252.3
NA,2019-03-25,1, 281, 1667,uk.org.publicwhip/debate/2019-03-25c.92.1
NA,2019-03-28,1, 565, 3714,uk.org.publicwhip/debate/2019-03-28b.662.1
NA,2019-04-09,1, 491, 2702,uk.org.publicwhip/debate/2019-04-09c.244.1
NA,2019-04-23,5,2684,16064,uk.org.publicwhip/debate/2019-04-23a.674.0 uk.org.publicwhip/debate/2019-04-23a.614.3 uk.org.publicwhip/debate/2019-04-23a.682.2 uk.org.publicwhip/debate/2019-04-23a.610.1 uk.org.publicwhip/debate/2019-04-23a.721.0
NA,2019-04-24,1,  59,  345,uk.org.publicwhip/debate/2019-04-24b.734.0
NA,2019-04-25,1,1018, 6100,uk.org.publicwhip/debate/2019-04-25c.909.2
NA,2019-04-30,1,1645, 9910,uk.org.publicwhip/debate/2019-04-30a.148.1
NA,2019-05-01,3, 591, 3582,uk.org.publicwhip/debate/2019-05-01c.225.2 uk.org.publicwhip/debate/2019-05-01c.251.0 uk.org.publicwhip/debate/2019-05-01c.232.2
NA,2019-05-09,1,  73,  407,uk.org.publicwhip/debate/2019-05-09b.640.7
NA,2019-05-21,3, 493, 3066,uk.org.publicwhip/debate/2019-05-21a.650.1 uk.org.publicwhip/debate/2019-05-21a.605.3 uk.org.publicwhip/debate/2019-05-21a.604.1
NA,2019-06-10,1,  90,  525,uk.org.publicwhip/debate/2019-06-10b.442.2
NA,2019-06-12,2, 238, 1358,uk.org.publicwhip/debate/2019-06-12e.657.5 uk.org.publicwhip/debate/2019-06-12e.670.0
NA,2019-06-13,1,  65,  375,uk.org.publicwhip/debate/2019-06-13b.822.1
NA,2019-06-26,1,  67,  383,uk.org.publicwhip/debate/2019-06-26a.659.4
NA,2019-07-01,2, 370, 2219,uk.org.publicwhip/debate/2019-07-01c.961.2 uk.org.publicwhip/debate/2019-07-01c.957.4
NA,2019-07-04,1,1094, 6628,uk.org.publicwhip/debate/2019-07-04b.1409.1
NA,2019-07-17,1,  59,  337,uk.org.publicwhip/debate/2019-07-17a.816.2
NA,2019-07-18,1, 148,  902,uk.org.publicwhip/debate/2019-07-18a.945.0
NA,2019-07-24,1,  59,  356,uk.org.publicwhip/debate/2019-07-24b.1362.2
NA,2019-07-25,1,  34,  187,uk.org.publicwhip/debate/2019-07-25a.1427.7
NA,2019-09-03,1,  26,  141,uk.org.publicwhip/debate/2019-09-03b.34.3
NA,2019-09-09,1, 415, 2435,uk.org.publicwhip/debate/2019-09-09c.549.4
NA,2019-09-26,1,  78,  447,uk.org.publicwhip/debate/2019-09-26c.913.0
NA,2019-10-14,2,1308, 7587,uk.org.publicwhip/debate/2019-10-14a.49.1 uk.org.publicwhip/debate/2019-10-14a.76.0
