interactor,topic,doc_nb,word_nb,char_nb,doc_ids
NA,P1, 8.939376,2381.040,14264.71,uk.org.publicwhip/debate/2019-07-01c.961.2 uk.org.publicwhip/debate/2016-11-22b.734.5 uk.org.publicwhip/debate/2017-12-12b.175.2 uk.org.publicwhip/debate/2019-03-20b.1057.0 uk.org.publicwhip/debate/2016-05-18a.3.0 uk.org.publicwhip/debate/2019-06-26a.659.4 uk.org.publicwhip/debate/2016-07-18c.645.0 uk.org.publicwhip/debate/2016-03-09a.281.0 uk.org.publicwhip/debate/2016-01-25c.112.1 uk.org.publicwhip/debate/2016-09-07b.419.1 uk.org.publicwhip/debate/2019-07-17a.816.2
NA,P10, 7.352016,5503.589,34530.34,uk.org.publicwhip/debate/2019-06-12e.657.5 uk.org.publicwhip/debate/2017-01-31c.845.1 uk.org.publicwhip/debate/2019-02-12c.721.5 uk.org.publicwhip/debate/2017-02-08b.434.1 uk.org.publicwhip/debate/2018-11-22b.1110.5 uk.org.publicwhip/debate/2017-02-01b.1005.253 uk.org.publicwhip/debate/2019-04-09c.244.1
NA,P2, 8.322379,3549.865,20931.93,uk.org.publicwhip/debate/2016-03-08a.250.2 uk.org.publicwhip/debate/2016-02-02a.861.0 uk.org.publicwhip/debate/2018-05-23c.896.3 uk.org.publicwhip/debate/2017-02-27b.53.1 uk.org.publicwhip/debate/2018-10-18b.833.2
NA,P3, 5.010671,1897.479,11318.19,uk.org.publicwhip/debate/2019-07-04b.1409.1 uk.org.publicwhip/debate/2019-06-13b.822.1 uk.org.publicwhip/debate/2019-02-21a.1588.7 uk.org.publicwhip/debate/2019-07-18a.945.0 uk.org.publicwhip/debate/2019-10-28b.114.1 uk.org.publicwhip/debate/2019-10-17c.541.0 uk.org.publicwhip/debate/2018-06-25d.691.0
NA,P4, 7.703379,3426.981,20517.74,uk.org.publicwhip/debate/2019-06-10b.442.2 uk.org.publicwhip/debate/2016-09-07b.412.0
NA,P5,11.017314,4243.150,25054.36,uk.org.publicwhip/debate/2019-10-14a.49.1 uk.org.publicwhip/debate/2019-04-24b.734.0 uk.org.publicwhip/debate/2019-05-21a.605.3 uk.org.publicwhip/debate/2019-10-17c.545.0 uk.org.publicwhip/debate/2019-03-25c.92.1 uk.org.publicwhip/debate/2019-05-01c.251.0 uk.org.publicwhip/debate/2019-09-09c.549.4 uk.org.publicwhip/debate/2019-10-14a.76.0 uk.org.publicwhip/debate/2019-04-25c.909.2
NA,P6,19.725672,4561.024,26896.22,uk.org.publicwhip/debate/2019-04-30a.148.1 uk.org.publicwhip/debate/2016-03-14b.719.0 uk.org.publicwhip/debate/2016-07-12b.186.1 uk.org.publicwhip/debate/2016-07-14b.417.8 uk.org.publicwhip/debate/2016-07-14c.412.7 uk.org.publicwhip/debate/2016-07-14c.412.3 uk.org.publicwhip/debate/2016-07-04a.690.0 uk.org.publicwhip/debate/2019-04-23a.674.0 uk.org.publicwhip/debate/2016-03-14b.702.0 uk.org.publicwhip/debate/2016-09-07b.333.3 uk.org.publicwhip/debate/2019-04-23a.614.3 uk.org.publicwhip/debate/2019-07-25a.1427.7 uk.org.publicwhip/debate/2019-10-17c.552.2 uk.org.publicwhip/debate/2019-04-23a.682.2 uk.org.publicwhip/debate/2016-11-08c.1390.7 uk.org.publicwhip/debate/2019-04-23a.610.1 uk.org.publicwhip/debate/2019-05-01c.225.2 uk.org.publicwhip/debate/2017-12-12b.169.11 uk.org.publicwhip/debate/2019-02-07b.386.4 uk.org.publicwhip/debate/2019-10-22d.802.0 uk.org.publicwhip/debate/2016-01-07b.417.3 uk.org.publicwhip/debate/2017-11-07c.1321.5 uk.org.publicwhip/debate/2019-06-12e.670.0 uk.org.publicwhip/debate/2019-02-28a.602.2 uk.org.publicwhip/debate/2018-03-13c.698.3 uk.org.publicwhip/debate/2019-05-21a.604.1 uk.org.publicwhip/debate/2017-09-12a.632.3
NA,P7,18.442827,6593.730,38691.03,uk.org.publicwhip/debate/2018-03-06b.252.2 uk.org.publicwhip/debate/2019-09-26c.913.0 uk.org.publicwhip/debate/2016-07-18c.591.2 uk.org.publicwhip/debate/2019-09-03b.34.3 uk.org.publicwhip/debate/2016-09-07b.371.5 uk.org.publicwhip/debate/2019-10-30a.368.3 uk.org.publicwhip/debate/2016-02-11c.1727.7 uk.org.publicwhip/debate/2019-05-21a.650.1 uk.org.publicwhip/debate/2019-10-30a.368.2 uk.org.publicwhip/debate/2019-05-09b.640.7 uk.org.publicwhip/debate/2016-01-18b.1178.0 uk.org.publicwhip/debate/2018-10-31a.928.4 uk.org.publicwhip/debate/2019-03-21a.1252.3 uk.org.publicwhip/debate/2019-02-21a.1593.1 uk.org.publicwhip/debate/2018-12-03b.610.1 uk.org.publicwhip/debate/2019-03-11c.80.1 uk.org.publicwhip/debate/2019-07-01c.957.4 uk.org.publicwhip/debate/2017-10-26b.457.0
NA,P8, 8.331897,4168.750,25264.69,uk.org.publicwhip/debate/2016-01-05d.133.2 uk.org.publicwhip/debate/2019-10-17c.534.0 uk.org.publicwhip/debate/2018-11-12d.151.1 uk.org.publicwhip/debate/2016-09-07b.405.0 uk.org.publicwhip/debate/2019-10-28b.124.3 uk.org.publicwhip/debate/2016-01-06b.366.1 uk.org.publicwhip/debate/2019-03-18c.894.0 uk.org.publicwhip/debate/2019-04-23a.721.0 uk.org.publicwhip/debate/2019-05-01c.232.2
NA,P9, 5.154470,3813.392,23995.79,uk.org.publicwhip/debate/2017-06-27a.455.8 uk.org.publicwhip/debate/2019-03-28b.662.1 uk.org.publicwhip/debate/2017-11-15c.494.4 uk.org.publicwhip/debate/2019-07-24b.1362.2 uk.org.publicwhip/debate/2018-01-30a.718.2
